week,conflict_label,total,n_bot,n_human,bot_share,mean_ttr_human,shannon_entropy
2015-05-03,iran_usa,6,0,6,0,0.7660434094346213,6.969920130027647
2015-05-24,gaza_israel,3,0,3,0,0.880804495711328,5.277613436819116
2015-07-26,gaza_israel,4,0,4,0,0.8373845777533174,6.153224108250237
2015-08-02,gaza_israel,3,0,3,0,0.857057057057057,5.712319091186709
2015-10-18,gaza_israel,3,1,2,0.3333333333333333,0.8229166666666667,4.9287988140246615
2015-10-25,iran_usa,4,1,3,0.25,0.81535569182628,5.720772463993192
2015-11-01,gaza_israel,4,2,2,0.5,1,3.321928094887362
2015-11-22,gaza_israel,4,0,4,0,0.8469028952313836,5.17642832417039
2015-11-29,gaza_israel,3,2,1,0.6666666666666666,1,2
2016-01-03,gaza_israel,6,4,2,0.6666666666666666,0.782074780058651,5.159325271227372
2016-03-13,both,4,0,4,0,0.8515625,5.942279509986237
2016-04-03,iran_usa,3,0,3,0,0.8725071225071226,3.930270372293453
2016-06-12,gaza_israel,3,2,1,0.6666666666666666,0.7232142857142857,5.533911704898537
2016-09-11,gaza_israel,4,2,2,0.5,0.7119184193753983,8.009662342496869
2016-11-06,gaza_israel,4,0,4,0,0.8941112776944862,4.546593564294939
2016-12-18,gaza_israel,4,0,4,0,0.8928345959595959,5.395663087120995
2017-01-01,gaza_israel,3,2,1,0.6666666666666666,0.8421052631578947,2
2017-02-26,gaza_israel,6,2,4,0.3333333333333333,0.8876109765940274,5.854759601642996
2017-07-16,gaza_israel,4,2,2,0.5,0.7135728542914171,7.592549430311286
2017-08-13,iran_usa,4,1,3,0.25,0.8587279262384747,5.611456608683875
2017-08-20,gaza_israel,4,2,2,0.5,0.9155844155844156,3.9477027792200903
2018-03-11,gaza_israel,5,3,2,0.6,0.9021505376344086,4.483856189774724
2018-03-25,both,3,2,1,0.6666666666666666,0.8958333333333334,4.3685225277282065
2018-04-01,gaza_israel,3,2,1,0.6666666666666666,0.7058823529411765,6.476346910598946
2018-05-06,both,10,1,9,0.1,0.9050672943431209,6.4059369277615215
2018-05-06,gaza_israel,14,5,9,0.35714285714285715,0.8238172464495319,7.568778070541059
2018-05-13,both,3,1,2,0.3333333333333333,0.883219954648526,4.767168825720834
2018-05-13,gaza_israel,7,5,2,0.7142857142857143,0.8305555555555556,5.8876772360720935
2018-05-20,gaza_israel,24,24,0,1,NA,NA
2018-07-08,gaza_israel,3,1,2,0.3333333333333333,0.8987341772151899,5.234120167580197
2018-11-11,gaza_israel,3,0,3,0,0.817393795170104,5.939267556014374
2018-12-09,gaza_israel,3,1,2,0.3333333333333333,0.9473684210526316,3.4594316186372978
2019-01-13,gaza_israel,3,1,2,0.3333333333333333,0.7825984990619137,5.101345257520842
2019-06-16,iran_usa,5,0,5,0,0.8698472610955618,6.651861050918359
2019-07-14,iran_usa,7,0,7,0,0.8268422224277528,7.5684742912285206
2020-01-26,gaza_israel,5,0,5,0,0.8379290274942449,6.283585699105423
2020-02-02,gaza_israel,15,6,9,0.4,0.8126571872126394,7.065909004880178
2020-02-16,gaza_israel,4,0,4,0,0.8854554865424431,5.622363698375268
2020-02-23,gaza_israel,3,0,3,0,0.9217446201141853,5.046457187492146
2020-04-19,gaza_israel,4,2,2,0.5,0.9193548387096775,3.238901256602631
2020-04-19,iran_usa,3,2,1,0.6666666666666666,0.8846153846153846,3.4594316186372978
2020-07-12,gaza_israel,6,2,4,0.3333333333333333,0.8593732662146985,5.452640046777107
2020-08-16,gaza_israel,13,12,1,0.9230769230769231,0.84375,2.9219280948873627
2020-08-16,iran_usa,4,3,1,0.75,1,2.3219280948873626
2020-08-23,gaza_israel,3,2,1,0.6666666666666666,1,3.321928094887362
2020-09-06,gaza_israel,18,6,12,0.3333333333333333,0.8537190979521897,7.385345449765185
2020-09-13,gaza_israel,3,1,2,0.3333333333333333,0.7286931818181819,6.115322851868776
2020-10-18,gaza_israel,3,3,0,1,NA,NA
2020-11-01,gaza_israel,4,0,4,0,0.9162332545311269,5.539976567419271
2020-11-29,both,8,0,8,0,0.6845173352942413,7.241053487859302
2020-12-20,gaza_israel,3,3,0,1,NA,NA
2020-12-27,gaza_israel,4,0,4,0,0.9042682926829269,5.664497779200461
2021-01-10,iran_usa,3,2,1,0.6666666666666666,0.9411764705882352,3.321928094887362
2021-02-14,gaza_israel,3,3,0,1,NA,NA
2021-04-04,iran_usa,3,0,3,0,0.8726495726495727,4.221928094887362
2021-05-02,gaza_israel,3,1,2,0.3333333333333333,0.8350694444444444,4.546593564294939
2021-05-09,gaza_israel,15,2,13,0.13333333333333333,0.9229813353855862,7.005765679752288
2021-05-16,gaza_israel,4,0,4,0,0.9388390330665373,5.195295934496217
2021-05-23,gaza_israel,19,0,19,0,0.7339884041105752,8.15158569687248
2021-05-30,gaza_israel,5,1,4,0.2,0.6832535909792856,8.168209375822562
2021-06-06,gaza_israel,6,0,6,0,0.9012193239697485,6.1918068654496485
2021-06-06,iran_usa,3,0,3,0,0.6236008819381151,8.619159212225247
2021-06-13,gaza_israel,7,4,3,0.5714285714285714,0.8964646464646464,4.297079327540665
2021-06-20,gaza_israel,3,2,1,0.6666666666666666,0.62,6.292677303318595
2021-06-20,iran_usa,4,0,4,0,0.9611111111111111,4.440636352673267
2021-08-01,both,4,2,2,0.5,0.9615384615384617,4.625053839880556
2021-08-15,gaza_israel,3,0,3,0,0.9030495169082126,4.294653473544342
2021-09-05,gaza_israel,3,0,3,0,0.857901927084317,6.028890488618676
2021-09-19,gaza_israel,19,0,19,0,0.8799106136727666,8.51854102407611
2021-11-14,gaza_israel,4,0,4,0,0.9235043449197861,5.1542221846835226
2021-11-21,gaza_israel,5,0,5,0,0.9306159420289855,5.718488437474711
2022-04-03,gaza_israel,3,0,3,0,0.9637254901960783,4.161978179679554
2022-05-15,gaza_israel,4,0,4,0,0.9288961038961039,5.9137878600078535
2022-07-31,gaza_israel,3,1,2,0.3333333333333333,1,3.121928094887362
2022-12-04,iran_usa,3,0,3,0,0.9761904761904762,4.643856189774724
2023-01-01,gaza_israel,3,0,3,0,0.95,4.334962500721156
2023-02-19,gaza_israel,4,0,4,0,0.8780846934409194,5.979348276893889
2023-02-26,iran_usa,4,0,4,0,0.9166666666666667,4.718488437474712
2023-03-12,gaza_israel,5,0,5,0,0.8818875441197709,5.523948953209709
2026-03-01,iran_usa,3,0,3,0,0.8852021357742181,5.014997302659252
